STATE_ID,DESCRIPTION,Unnamed: 2,LATITUDE,LONGITUDE,SAMPLE_DATE,SAMPLE_TIME,SAMPLE_DEPTH,GENUS,SPECIES,CATEGORY,CELLCOUNT,CELLCOUNT_UNIT,CELLCOUNT_QA,SALINITY,SALINITY_UNIT,SALINITY_QA,WATER_TEMP,WATER_TEMP_UNIT,WATER_TEMP_QA,WIND_DIR,WIND_DIR_UNIT,WIND_DIR_QA,WIND_SPEED,WIND_SPEED_UNIT,WIND_SPEED_QA,OBJECTID,Unnamed: 27,HAB_EVENT,STABLE_EVENT_ID
FL,Diamond Bay (Banana River),,28.35034,-80.61298,03/02/2015,21:20,1.4,Karenia,brevis,not observed,0,cells/L,1,26.8,ppt,1,18,deg. C,1,,,9,,,9,1748512,,0,20150203_28.3503_-80.613_0
FL,Island Park; SW of (Sarasota Bay),,27.32305,-82.5499,03/02/2015,,1,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1757805,,0,20150203_27.323_-82.5499_0
FL,South Marco Beach,,25.91165,-81.72805,09/02/2015,16:45,0.5,Karenia,brevis,not observed,0,cells/L,1,36,ppt,1,,,9,,,9,,,9,1784479,,0,20150209_25.9117_-81.728_0
FL,Blind Pass Beach,,26.96324,-82.38565,09/02/2015,14:15,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1737212,,0,20150209_26.9632_-82.3856_0
FL,Nokomis Beach,,27.12332,-82.47122,09/02/2015,16:10,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1770639,,0,20150209_27.1233_-82.4712_0
FL,Lynn Hall Park,,26.45398,-81.95776,11/02/2015,15:52,0.5,Karenia,brevis,not observed,0,cells/L,1,34,ppt,1,19.8,deg. C,1,,,9,,,9,1763580,,0,20150211_26.454_-81.9578_0
FL,Captiva Pass; 4.2 mi W of,,26.61003,-82.29105,23/02/2015,15:56,0.6,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1742355,,0,20150223_26.61_-82.291_0
FL,Venice Municiple Airport; E of (ICW),,27.0786,-82.4303,03/03/2015,,1,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1791059,,0,20150303_27.0786_-82.4303_0
FL,Stickney Point Bridge; NW of (Roberts Bay; Sarasota),,27.25855,-82.53496,03/03/2015,,1,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1787261,,0,20150303_27.2586_-82.535_0
FL,Gasparilla Island; 19 mi W of,,26.75673,-82.56586,03/03/2015,15:12,0.6,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1754181,,0,20150303_26.7567_-82.5659_0
FL,Lido Beach Casino,,27.311,-82.57718,09/03/2015,13:30,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1760100,,0,20150309_27.311_-82.5772_0
FL,Harbor Key; 4.2 mi NW of,,24.8887,-81.4529,12/03/2015,,0.2,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1755293,,0,20150312_24.8887_-81.4529_0
FL,Longboat Key Beach,,27.37317,-82.63202,16/03/2015,13:10,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1761942,,0,20150316_27.3732_-82.632_0
FL,Pensacola Beach Pier,,30.3273,-87.1419,17/03/2015,17:55,0.5,Karenia,brevis,not observed,0,cells/L,1,34,ppt,1,13,deg. C,1,,,9,,,9,1773967,,0,20150317_30.3273_-87.1419_0
FL,Cayo Pelau; 2 mi S of (Charlotte Harbor),,26.74065,-82.2145,17/03/2015,18:13,0.5,Karenia,brevis,not observed,0,cells/L,1,35.1,ppt,1,31.9,deg. C,1,,,9,,,9,1744209,,0,20150317_26.7406_-82.2145_0
FL,San Jose St; W of (Old Tampa Bay),,27.9244,-82.5496,18/03/2015,15:34,0.1,Karenia,brevis,not observed,0,cells/L,1,22.53,ppt,1,24.76,deg. C,1,,,9,,,9,1778639,,0,20150318_27.9244_-82.5496_0
FL,New Pass Dock (Sarasota Bay),,27.33375,-82.57938,24/03/2015,19:05,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1768737,,0,20150324_27.3338_-82.5794_0
FL,New Pass Dock (Sarasota Bay),,27.33375,-82.57938,25/03/2015,13:25,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1768738,,0,20150325_27.3338_-82.5794_0
FL,Bay Dock (Sarasota Bay),,27.3316,-82.5779,27/03/2015,14:00,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1732767,,0,20150327_27.3316_-82.5779_0
FL,Venice Beach,,27.10034,-82.46089,30/03/2015,15:05,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1790141,,0,20150330_27.1003_-82.4609_0
FL,Bay Dock (Sarasota Bay),,27.3316,-82.5779,02/04/2015,14:00,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1732771,,0,20150402_27.3316_-82.5779_0
FL,Bald Point; 1.2 mi NE of,,29.95817,-84.32367,02/04/2015,15:50,0.5,Karenia,brevis,not observed,0,cells/L,1,20.4,ppt,1,21.8,deg. C,1,,,9,,,9,1731921,,0,20150402_29.9582_-84.3237_0
FL,Baitfish Cruise April 2015 Night Sample 08,,26.38312,-82.11127,13/04/2015,08:10,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1731832,,0,20150413_26.3831_-82.1113_0
FL,East Sister Rock; 3.4 mi SE of,,24.665,-81.026,17/04/2015,19:00,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1749405,,0,20150417_24.665_-81.026_0
FL,Goodland Bridge,,25.9334,-81.6496,27/04/2015,14:45,0.5,Karenia,brevis,not observed,0,cells/L,1,33.5,ppt,1,31,deg. C,1,,,9,,,9,1754858,,0,20150427_25.9334_-81.6496_0
FL,Bird Key; E of (Sarasota Bay),,27.31689,-82.55359,05/05/2015,,1,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1736124,,0,20150505_27.3169_-82.5536_0
FL,Mid-Sarasota Bay,,27.37688,-82.58288,05/05/2015,,1,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1766231,,0,20150505_27.3769_-82.5829_0
FL,Boca Grande Pier (Gasparilla Sound),,26.80562,-82.27415,06/05/2015,15:00,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1738126,,0,20150506_26.8056_-82.2742_0
FL,Lemon Grove Island; 6 mi W of,,28.595,-82.765,06/05/2015,,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1759953,,0,20150506_28.595_-82.765_0
FL,Manasota Beach,,27.01031,-82.41312,11/05/2015,13:35,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1764162,,0,20150511_27.0103_-82.4131_0
FL,Sandy Key; 3.4 mi S of,,24.98417,-81.0118,11/05/2015,,0.2,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1779316,,0,20150511_24.9842_-81.0118_0
FL,Longboat Key Beach,,27.37317,-82.63202,11/05/2015,13:30,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1761950,,0,20150511_27.3732_-82.632_0
FL,Vanderbilt Beach,,26.25375,-81.82377,12/05/2015,15:45,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,28.1,deg. C,1,,,9,,,9,1789714,,0,20150512_26.2538_-81.8238_0
FL,Bay Dock (Sarasota Bay),,27.3316,-82.5779,20/05/2015,13:30,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1732802,,0,20150520_27.3316_-82.5779_0
FL,Pensacola Beach Pier,,30.3273,-87.1419,20/05/2015,16:33,0.5,Karenia,brevis,not observed,0,cells/L,1,34,ppt,1,23,deg. C,1,,,9,,,9,1773975,,0,20150520_30.3273_-87.1419_0
FL,Sandy Key; 5.2 mi SW of,,24.96038,-80.98737,22/05/2015,,0.2,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1779406,,0,20150522_24.9604_-80.9874_0
FL,Bird Island; 1.5 mi W of (Mosquito Lagoon),,28.8116,-80.79908,23/05/2015,16:33,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1735777,,0,20150523_28.8116_-80.7991_0
FL,Venice Beach,,27.10034,-82.46089,26/05/2015,14:50,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1790149,,0,20150526_27.1003_-82.4609_0
FL,Vanderbilt Beach,,26.25375,-81.82377,26/05/2015,16:30,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,29.5,deg. C,1,,,9,,,9,1789716,,0,20150526_26.2538_-81.8238_0
FL,Lighthouse Beach,,26.45157,-82.01543,27/05/2015,13:48,0.5,Karenia,brevis,not observed,0,cells/L,1,36,ppt,1,28.6,deg. C,1,,,9,,,9,1760592,,0,20150527_26.4516_-82.0154_0
FL,Pavilion Key; 2.9 mi SW of,,25.6614,-81.3856,29/05/2015,,0.2,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1773231,,0,20150529_25.6614_-81.3856_0
FL,Estero River; mouth of (Estero Bay),,26.4294,-81.858,01/06/2015,10:56,0.5,Karenia,brevis,not observed,0,cells/L,1,31.05,ppt,1,27.1,deg. C,1,,,9,,,9,1750606,,0,20150601_26.4294_-81.858_0
FL,New Pass Dock (Sarasota Bay),,27.33375,-82.57938,01/06/2015,13:05,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1768779,,0,20150601_27.3338_-82.5794_0
FL,Mullet Key; Gulf Pier,,27.6133,-82.7391,08/06/2015,20:52,0.5,Karenia,brevis,not observed,0,cells/L,1,36.01,ppt,1,31.54,deg. C,1,,,9,,,9,1767193,,0,20150608_27.6133_-82.7391_0
FL,Snook Inn  (Big Marco Pass),,25.9733,-81.7278,08/06/2015,14:28,0.5,Karenia,brevis,not observed,0,cells/L,1,32,ppt,1,30.5,deg. C,1,,,9,,,9,1783882,,0,20150608_25.9733_-81.7278_0
FL,Alligator Creek (ICW),,27.04171,-82.43026,10/06/2015,,1,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1730316,,0,20150610_27.0417_-82.4303_0
FL,Redington Pier,,27.8224,-82.8313,15/06/2015,17:49,0.5,Karenia,brevis,not observed,0,cells/L,1,36.34,ppt,1,29.86,deg. C,1,,,9,,,9,1777088,,0,20150615_27.8224_-82.8313_0
FL,SEAMAP 0615 Station 089,,27.86083,-84.05733,18/06/2015,07:41,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1781244,,0,20150618_27.8608_-84.0573_0
FL,Fletcher Point (Lower Tampa Bay),,27.58512,-82.61482,22/06/2015,17:37,0.5,Karenia,brevis,not observed,0,cells/L,1,33.78,ppt,1,30.55,deg. C,1,,,9,,,9,1751005,,0,20150622_27.5851_-82.6148_0
FL,Lynn Hall Park,,26.45398,-81.95776,24/06/2015,14:40,0.5,Karenia,brevis,not observed,0,cells/L,1,35,ppt,1,32.2,deg. C,1,,,9,,,9,1763599,,0,20150624_26.454_-81.9578_0
FL,Lovers Key State Park,,26.3901,-81.8795,24/06/2015,15:17,0.5,Karenia,brevis,not observed,0,cells/L,1,35,ppt,1,32.7,deg. C,1,,,9,,,9,1763122,,0,20150624_26.3901_-81.8795_0
FL,Bonita Beach Park,,26.33105,-81.84574,24/06/2015,16:19,0.5,Karenia,brevis,not observed,0,cells/L,1,35,ppt,1,33.1,deg. C,4,,,9,,,9,1738732,,0,20150624_26.331_-81.8457_0
FL,SEAMAP 0615 Station 150,,27.78033,-84.41883,25/06/2015,19:14,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1781300,,0,20150625_27.7803_-84.4188_0
FL,SEAMAP 0615 Station 151,,28.00583,-84.49683,25/06/2015,21:53,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1781301,,0,20150625_28.0058_-84.4968_0
FL,Sandy Key; 3.4 mi S of,,24.98417,-81.0118,25/06/2015,,0.2,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1779319,,0,20150625_24.9842_-81.0118_0
FL,SEAMAP 0615 Station 144,,27.4565,-83.79833,25/06/2015,06:07,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1781294,,0,20150625_27.4565_-83.7983_0
FL,SEAMAP 0615 Station 160,,28.516,-83.00517,26/06/2015,18:00,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1781309,,0,20150626_28.516_-83.0052_0
FL,SEAMAP 0615 Station 172,,29.76467,-83.85033,27/06/2015,19:16,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1781320,,0,20150627_29.7647_-83.8503_0
FL,Tarpon Road Beach,,26.42309,-82.08012,22/07/2015,13:21,0.5,Karenia,brevis,not observed,0,cells/L,1,36,ppt,1,30.8,deg. C,1,,,9,,,9,1787788,,0,20150722_26.4231_-82.0801_0
FL,Stock Island Marina (Key West),,24.56439,-81.73888,27/07/2015,,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1787327,,0,20150727_24.5644_-81.7389_0
FL,Bay Dock (Sarasota Bay),,27.3316,-82.5779,07/08/2015,13:40,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1732838,,0,20150807_27.3316_-82.5779_0
FL,Brohard Beach,,27.06631,-82.448,10/08/2015,14:05,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1739414,,0,20150810_27.0663_-82.448_0
FL,Anna Maria Island Rod & Reel Pier (Lower Tampa Bay),,27.5385,-82.7402,10/08/2015,14:45,0.5,Karenia,brevis,not observed,0,cells/L,1,38.64,ppt,1,29.73,deg. C,1,,,9,,,9,1730744,,0,20150810_27.5385_-82.7402_0
FL,Redington Pier,,27.8224,-82.8313,17/08/2015,19:22,0.5,Karenia,brevis,not observed,0,cells/L,1,34.16,ppt,1,31.03,deg. C,1,,,9,,,9,1777097,,0,20150817_27.8224_-82.8313_0
FL,Lido Beach Casino,,27.311,-82.57718,17/08/2015,13:50,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1760120,,0,20150817_27.311_-82.5772_0
FL,Boca Grande Pier (Gasparilla Sound),,26.80562,-82.27415,19/08/2015,15:30,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1738140,,0,20150819_26.8056_-82.2742_0
FL,"Tierra Verde, 7.15 mi W of",,27.68128,-82.85615,19/08/2015,17:47,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1788273,,0,20150819_27.6813_-82.8562_0
FL,East Cape Canal; 3.4 mi S of (Florida Bay),,25.07474,-81.06472,24/08/2015,,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1749268,,0,20150824_25.0747_-81.0647_0
FL,Englewood Beach,,26.92467,-82.36189,26/08/2015,13:00,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1750101,,0,20150826_26.9247_-82.3619_0
FL,Venice; 84 mi W of,,27.08943,-83.8325,28/08/2015,,22,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1791207,,0,20150828_27.0894_-83.8325_0
FL,Lynn Hall Park,,26.45398,-81.95776,02/09/2015,14:42,0.5,Karenia,brevis,not observed,0,cells/L,1,35,ppt,1,31.6,deg. C,1,,,9,,,9,1763609,,0,20150902_26.454_-81.9578_0
FL,Mullet Key; Gulf Pier,,27.6133,-82.7391,08/09/2015,19:27,0.5,Karenia,brevis,not observed,0,cells/L,1,32.35,ppt,1,29.96,deg. C,1,,,9,,,9,1767206,,0,20150908_27.6133_-82.7391_0
FL,Palma Sola Bay Bridge,,27.4959,-82.6522,21/09/2015,18:38,0.5,Karenia,brevis,not observed,0,cells/L,1,30.98,ppt,1,30.11,deg. C,1,,,9,,,9,1772411,,0,20150921_27.4959_-82.6522_0
FL,Gasparilla Pass; 18 mi W of,,26.79666,-82.57846,22/09/2015,18:35,0.7,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1754505,,0,20150922_26.7967_-82.5785_0
FL,Manasota Beach; 3.4 mi W of,,27.01283,-82.46982,22/09/2015,13:27,0.7,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1764594,,0,20150922_27.0128_-82.4698_0
FL,Pensacola Beach Pier,,30.3273,-87.1419,22/09/2015,13:40,2,Karenia,brevis,not observed,0,cells/L,1,36,ppt,1,26.8,deg. C,1,,,9,,,9,1773993,,0,20150922_30.3273_-87.1419_0
FL,Ramsey Point; 2.9 mi W of (Waccasassa Bay),,29.1265,-82.8495,23/09/2015,14:45,0.5,Karenia,brevis,not observed,0,cells/L,1,17.7,ppt,1,26.8,deg. C,1,,,9,,,9,1776372,,0,20150923_29.1265_-82.8495_0
FL,Tropic; SW of (Indian River),,28.1505,-80.635,04/10/2015,,0.5,Karenia,brevis,not observed,0,cells/L,1,19.6,ppt,1,26.9,deg. C,1,,,9,,,9,1788595,,0,20151004_28.1505_-80.635_0
FL,Mullet Key; Gulf Pier,,27.6133,-82.7391,05/10/2015,20:13,0.5,Karenia,brevis,not observed,0,cells/L,1,31.7,ppt,1,28.35,deg. C,1,,,9,,,9,1767210,,0,20151005_27.6133_-82.7391_0
FL,SEAMAP 1015 Station 003,,29.89033,-87.15667,08/10/2015,20:00,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1781538,,0,20151008_29.8903_-87.1567_0
FL,Marquesas Keys; 8.3 mi N of,,24.71731,-82.12366,09/10/2015,13:33,0.2,Karenia,brevis,not observed,0,cells/L,1,34.4,ppt,1,28.9,deg. C,1,,,9,,,9,1765244,,0,20151009_24.7173_-82.1237_0
FL,SEAMAP 1015 Station 016,,29.22,-84.83317,10/10/2015,05:13,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1781551,,0,20151010_29.22_-84.8332_0
FL,"Palmetto Island, 3.7 mi SE of (Apalachee Bay)",,30.03291,-84.09393,11/10/2015,16:10,0.5,Karenia,brevis,not observed,0,cells/L,1,3.6,ppt,1,23.7,deg. C,1,,,9,,,9,1772721,,0,20151011_30.0329_-84.0939_0
FL,SEAMAP 1015 Station 034,,27.78667,-84.259,11/10/2015,22:02,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1781569,,0,20151011_27.7867_-84.259_0
FL,Nokomis Beach,,27.12332,-82.47122,12/10/2015,14:50,0.5,Karenia,brevis,medium,851000,cells/L,1,,,9,,,9,,,9,,,9,1770316,,1,20151012_27.1233_-82.4712_851000
FL,Ringling Causeway,,27.32682,-82.56244,12/10/2015,13:00,0.5,Karenia,brevis,medium,311000,cells/L,1,,,9,,,9,,,9,,,9,1777723,,1,20151012_27.3268_-82.5624_311000
FL,Lido Beach Casino,,27.311,-82.57718,12/10/2015,14:00,0.5,Karenia,brevis,low,84000,cells/L,1,,,9,,,9,,,9,,,9,1760128,,1,20151012_27.311_-82.5772_84000
FL,South Marco Beach,,25.91165,-81.72805,12/10/2015,13:45,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,27.8,deg. C,1,,,9,,,9,1784505,,0,20151012_25.9117_-81.728_0
FL,Beacon Hill,,29.9159,-85.3802,12/10/2015,18:24,0.5,Karenia,brevis,high,1770000,cells/L,1,,,9,,,9,,,9,,,9,1734781,,1,20151012_29.9159_-85.3802_1770000
FL,Pensacola Beach Pier,,30.3273,-87.1419,12/10/2015,19:30,0.5,Karenia,brevis,not observed,0,cells/L,1,6.4,ppt,1,23.2,deg. C,1,,,9,,,9,1773996,,0,20151012_30.3273_-87.1419_0
FL,Turtle Beach,,27.21843,-82.51711,12/10/2015,15:20,0.5,Karenia,brevis,low,56000,cells/L,1,,,9,,,9,,,9,,,9,1788985,,1,20151012_27.2184_-82.5171_56000
FL,North Jetty,,27.11382,-82.46883,12/10/2015,15:05,0.5,Karenia,brevis,medium,383000,cells/L,1,,,9,,,9,,,9,,,9,1770850,,1,20151012_27.1138_-82.4688_383000
FL,Grayton Beach; 17 mi S of,,30.085,-86.21675,12/10/2015,13:30,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1755078,,0,20151012_30.085_-86.2168_0
FL,New Pass Dock (Sarasota Bay),,27.33375,-82.57938,13/10/2015,13:40,0.5,Karenia,brevis,medium,117000,cells/L,1,,,9,,,9,,,9,,,9,1768848,,1,20151013_27.3338_-82.5794_117000
FL,Bay Dock (Sarasota Bay),,27.3316,-82.5779,14/10/2015,13:10,0.5,Karenia,brevis,medium,430000,cells/L,1,,,9,,,9,,,9,,,9,1732877,,1,20151014_27.3316_-82.5779_430000
FL,Osprey; 3.23 mi SW of,,27.15226,-82.50916,14/10/2015,17:54,0.5,Karenia,brevis,high,1001000,cells/L,1,,,9,,,9,,,9,,,9,1772297,,1,20151014_27.1523_-82.5092_1001000
FL,Lynn Hall Park,,26.45398,-81.95776,14/10/2015,14:26,0.5,Karenia,brevis,not observed,0,cells/L,1,35,ppt,1,29.7,deg. C,1,,,9,,,9,1763615,,0,20151014_26.454_-81.9578_0
FL,South Venice; 12 mi W of,,27.05309,-82.63172,14/10/2015,11:41,0.5,Karenia,brevis,medium,222000,cells/L,1,,,9,,,9,,,9,,,9,1785642,,1,20151014_27.0531_-82.6317_222000
FL,Radabob Key; 5.6 mi E of,,25.12357,-80.29958,14/10/2015,14:44,0.5,Karenia,brevis,not observed,0,cells/L,1,35,ppt,1,29,deg. C,1,,,9,,,9,1776142,,0,20151014_25.1236_-80.2996_0
FL,Casey Key; 8.2 mi W of,,27.13245,-82.60835,15/10/2015,14:30,0.5,Karenia,brevis,medium,100833,cells/L,1,,,9,,,9,,,9,,,9,1742934,,1,20151015_27.1324_-82.6084_100833
FL,Siesta Key; 4.5 mi W of,,27.2175,-82.58973,15/10/2015,17:45,0.5,Karenia,brevis,medium,141167,cells/L,1,,,9,,,9,,,9,,,9,1783012,,1,20151015_27.2175_-82.5897_141167
FL,Fourmile Point; 1.9 mi E of (Choctawhatchee Bay),,30.42356,-86.28428,15/10/2015,16:06,0.5,Karenia,brevis,not observed,0,cells/L,1,17.3,ppt,1,23.9,deg. C,1,,,9,,,9,1752252,,0,20151015_30.4236_-86.2843_0
FL,SEAMAP 1015 Station 063,,24.97133,-82.496,17/10/2015,07:51,0.5,Karenia,brevis,not observed,0,cells/L,1,,,9,,,9,,,9,,,9,1781598,,0,20151017_24.9713_-82.496_0
FL,Bay Dock (Sarasota Bay),,27.3316,-82.5779,19/10/2015,13:20,0.5,Karenia,brevis,medium,483000,cells/L,1,,,9,,,9,,,9,,,9,1732880,,1,20151019_27.3316_-82.5779_483000
FL,St. Andrew State Park (St. Andrew Pass),,30.1242,-85.7328,19/10/2015,14:52,0.5,Karenia,brevis,medium,205625,cells/L,1,32.53,ppt,1,21.25,deg. C,1,,,9,,,9,1786173,,1,20151019_30.1242_-85.7328_205625
FL,Paradise Point; 2 mi NW of (St. Vincent Sound),,29.71117,-85.11183,19/10/2015,14:35,0.5,Karenia,brevis,not observed,0,cells/L,1,22.5,ppt,1,19.5,deg. C,1,,,9,,,9,1772775,,0,20151019_29.7112_-85.1118_0
FL,South Lido Park,,27.29818,-82.56739,19/10/2015,14:00,,Karenia,brevis,medium,107000,cells/L,1,,,9,,,9,,,9,,,9,1784141,,1,20151019_27.2982_-82.5674_107000
FL,Englewood Beach,,26.92467,-82.36189,21/10/2015,15:00,0.5,Karenia,brevis,medium,328611,cells/L,1,,,9,,,9,,,9,,,9,1750109,,1,20151021_26.9247_-82.3619_328611
