uid,data_provider,region,lat,lon,date,time,abun,severity,distance_to_water_m
abdk,EPA_National_Aquatic_Research_Survey,west,35.7589,-105.1445,20170619,0:01:00,83.591,2,0
abdw,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.48,-76.82,20200226,0:01:00,4.067,1,0
abei,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.976,-78.75614185,20160413,0:01:00,9.694,1,826
aben,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.8881581,-78.98307882,20190702,0:01:00,9.73,1,150
abeu,California_Environmental_Data_Exchange_Network,west,39.7533,-121.971,20190522,20:07:00,5957.5,4,1161
abhd,California_Environmental_Data_Exchange_Network,west,34.6721,-120.492,20140228,20:50:00,5677.5,4,962
abin,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.85803313,-78.74197382,20140715,0:01:00,2.178,1,1206
abit,EPA_National_Aquatic_Research_Survey,midwest,48.97325,-100.3713,20170801,0:01:00,311.089,3,0
abjj,US_Army_Corps_of_Engineers,northeast,42.056766,-78.879216,20190924,16:45:00,55.04933333,2,0
abjq,California_Environmental_Data_Exchange_Network,west,34.9454,-120.417,20170926,22:15:00,3670,4,1083
abjr,California_Environmental_Data_Exchange_Network,west,36.7962,-121.782,20160119,16:27:00,3030,4,26
abjx,California_Environmental_Data_Exchange_Network,west,38.1156,-121.494,20130820,17:00:00,5363.2205,4,177
abka,EPA_National_Aquatic_Research_Survey,midwest,41.72506,-85.01198,20170802,0:01:00,53.636,2,0
abkx,California_Environmental_Data_Exchange_Network,west,36.3708,-119.429,20160622,16:00:00,1065.25,4,221
abmo,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.89527007,-79.03999949,20150610,0:01:00,73.195,2,2024
aboc,EPA_Central_Data_Exchange,midwest,44.761667,-82.783333,20180403,0:01:00,0.358241253,1,0
abqi,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.69543599,-79.18319656,20160406,0:01:00,2.628,1,336
abqw,California_Environmental_Data_Exchange_Network,west,37.8717,-121.526,20160517,18:40:00,1673.606,4,75
abrn,US_Army_Corps_of_Engineers,northeast,41.890646,-78.925275,20171005,14:00:00,7.626284722,1,0
absk,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.433,-80.1,20160621,0:01:00,279.893,3,0
absl,US_Army_Corps_of_Engineers,northeast,42.086392,-78.874325,20130716,14:30:00,379.1468027,3,0
abso,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.65003134,-79.26753078,20160719,0:01:00,48.409,2,470
absx,California_Environmental_Data_Exchange_Network,west,36.9128,-121.744,20141203,18:15:00,4777.5,4,2132
abua,EPA_Central_Data_Exchange,midwest,44.736667,-86.721667,20160805,0:01:00,6.062838201,1,0
abui,California_Environmental_Data_Exchange_Network,west,37.1366,-120.762,20200512,19:30:00,5260,4,599
abvn,US_Army_Corps_of_Engineers,northeast,41.693325,-80.07708,20150925,17:20:00,56.77361111,2,50
abvy,EPA_National_Aquatic_Research_Survey,midwest,44.87109,-103.0033,20170612,0:01:00,1628.97,4,0
abwl,EPA_Central_Data_Exchange,midwest,44,-82.35,20170331,0:01:00,0.155190677,1,0
abxl,California_Environmental_Data_Exchange_Network,west,38.1602,-121.206,20190319,18:20:00,2474.705,4,71
abzb,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.313,-79.11482949,20200226,0:01:00,492.645,3,248
abzk,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,39.21155,-97.00559,20170828,0:01:00,93.24,2,26
abzw,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.86405812,-78.79019482,20150422,0:01:00,0.327,1,1773
acbt,California_Environmental_Data_Exchange_Network,west,39.3092,-121.595,20190822,17:41:00,5845,4,2716
accd,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.86688428,-78.81281395,20160524,0:01:00,3.558,1,261
acck,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.69378588,-79.18626146,20161213,0:01:00,13.863,1,382
acdj,California_Environmental_Data_Exchange_Network,west,37.3906,-120.958,20150414,19:30:00,1572.6545,4,467
acex,California_Environmental_Data_Exchange_Network,west,37.0062,-120.6,20210714,18:15:00,7915,4,1186
acgm,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.13,-79.06766955,20200624,0:01:00,15.394,1,407
acgx,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.6983636,-79.17775883,20140722,0:01:00,2.075,1,141
acix,California_Environmental_Data_Exchange_Network,west,37.3978,-120.96,20200811,18:30:00,6916.571,4,691
acje,California_Environmental_Data_Exchange_Network,west,39.6242,-122.197,20180620,19:20:00,9135,4,1059
ackq,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.976,-78.75042492,20151116,0:01:00,16.597,1,1416
ackx,EPA_Central_Data_Exchange,midwest,47.62155,-89.463167,20170825,0:01:00,2.783814767,1,0
aclb,Delaware_National_Resources_and_the_University_of_Delaware's_Citizen_Monitoring_Program,south,38.483121680000004,-75.12969166,20201110,12:50:00,10,1,0
acld,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.642526,-79.28147114,20200715,0:01:00,48.797,2,669
aclj,EPA_Water_Quality_Data_Portal,midwest,44.868638,-93.524033,20130923,14:45:00,4.013,1,0
acmt,California_Environmental_Data_Exchange_Network,west,37.2583,-120.475,20130212,20:00:00,182.129,3,993
acoa,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.68433767,-79.2038105,20150622,0:01:00,10.529,1,939
acoz,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.63158736,-79.30178847,20150506,0:01:00,1.753,1,1121
acpf,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.91362456,-79.18689955,20140623,0:01:00,9.036,1,701
acpk,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,37.82493334,-99.91665915,20210816,0:01:00,201.641,3,0
acqg,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.794,-79.01991641,20160920,0:01:00,758.089,3,0
acqj,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.8594928,-78.75365623,20130423,0:01:00,0.631,1,404
acqu,California_Environmental_Data_Exchange_Network,west,35.4265,-118.832,20200721,20:00:00,4927.5,4,66
acta,US_Army_Corps_of_Engineers,midwest,41.005131,-81.021802,20160802,17:45:00,1.274865923,1,0
actk,Pennsylvania_Department_of_Environmental_Protection,northeast,41.89424,-78.93875,20190416,16:45:00,1.267,1,0
actm,Delaware_National_Resources_and_the_University_of_Delaware's_Citizen_Monitoring_Program,south,38.72020003,-75.08008333,20170821,11:02:00,53.92499924,2,0
actx,California_Environmental_Data_Exchange_Network,west,36.8739,-121.745,20200429,22:10:00,5517.5,4,2152
acuf,Wyoming_Department_of_Environmental_Quality,west,41.964856,-110.654119,20180822,16:00:00,23228.43677,5,0
acwc,Indiana_State_Department_of_Health,midwest,39.61525,-84.96614444,20200825,14:00:00,3414.943,4,0
acwk,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.90862444,-79.14688109,20210428,0:01:00,120.721,3,270
acwm,California_Environmental_Data_Exchange_Network,west,34.942,-120.557,20130528,18:20:00,6900,4,2491
acwx,California_Environmental_Data_Exchange_Network,west,37.1366,-120.762,20150113,22:15:00,6592.5,4,599
acwy,EPA_Central_Data_Exchange,midwest,47.62155,-89.463167,20180513,0:01:00,0.248172423,1,0
acxn,California_Environmental_Data_Exchange_Network,west,37.2343,-121.87,20150206,2:40:00,5972.5,4,506
acyg,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.79,-79.03232432,20200311,0:01:00,0.854,1,304
acyi,EPA_Water_Quality_Data_Portal,midwest,44.878889,-93.490833,20130618,14:15:00,0.255,1,0
acyk,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.61,-78.99699829,20210518,0:01:00,48.167,2,1736
acyl,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.72484521,-79.12857211,20180806,0:01:00,7.932,1,790
aczv,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.64486809,-79.27712096,20190702,0:01:00,34.564,2,628
aczx,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.62476,-78.71115215,20160622,0:01:00,141.355,3,864
adau,EPA_Central_Data_Exchange,midwest,44.14,-87.233333,20160805,0:01:00,13.58431788,1,0
addj,EPA_Central_Data_Exchange,midwest,41.726667,-83.15,20180407,0:01:00,18.35869681,1,0
adef,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.742,-79.2289065,20160524,0:01:00,13.555,1,1232
adfl,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.86219473,-78.77528111,20140519,0:01:00,0.654,1,1330
adgs,California_Environmental_Data_Exchange_Network,west,35.3207,-120.806,20140227,16:20:00,7152.5,4,851
adhj,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.69077842,-79.19184749,20190219,0:01:00,1.328,1,972
adjx,California_Environmental_Data_Exchange_Network,west,41.0491,-121.762,20210823,16:45:00,2702.5,4,5527
admd,EPA_Central_Data_Exchange,midwest,46.993333,-85.1645,20160822,0:01:00,9.911813333,1,0
admk,EPA_National_Aquatic_Research_Survey,midwest,45.48802,-96.44255,20170821,0:01:00,303.4,3,0
admo,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.69149702,-79.19051278,20180809,0:01:00,1.54,1,819
adow,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.66727765,-79.23549762,20161213,0:01:00,0.484,1,162
adqc,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.67007219,-79.23030706,20150806,0:01:00,1.67,1,772
adra,US_Army_Corps_of_Engineers,midwest,41.299298,-80.758329,20180705,14:10:00,0.153401361,1,38
adsv,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.88523877,-78.95971401,20180221,0:01:00,19.461,1,33
adtv,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.79,-79.02184434,20170321,0:01:00,250.082,3,0
adtx,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.89309611,-79.02260016,20211012,0:01:00,38.727,2,288
aduy,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.8674433,-78.81728806,20160719,0:01:00,90.041,2,400
advr,EPA_Central_Data_Exchange,midwest,47.85615,-88.041917,20130415,0:01:00,0.434866119,1,0
adwf,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.70610848,-79.16337357,20160608,0:01:00,1.867,1,519
adwg,Indiana_State_Department_of_Health,midwest,40.72010333,-85.1058325,20210524,23:00:00,3.335,1,0
adwl,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.72521782,-79.12788004,20130826,0:01:00,0.821,1,752
adxk,Indiana_State_Department_of_Health,midwest,41.33056393,-85.38360833,20200608,20:00:00,36.556,2,0
adxl,California_Environmental_Data_Exchange_Network,west,37.3169,-120.742,20170411,19:40:00,3747.9965,4,3579
adxo,US_Army_Corps_of_Engineers,northeast,41.841242,-78.994719,20200902,21:30:00,5.300663072,1,0
adzg,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.69841683,-79.17765997,20140722,0:01:00,13.278,1,156
aeaj,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.65,-78.68778733,20210811,0:01:00,53.089,2,527
aeap,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.794,-79.01032624,20140805,0:01:00,7.261,1,0
aebg,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.63754905,-79.29071528,20150723,0:01:00,73.662,2,399
aecj,California_Environmental_Data_Exchange_Network,west,36.7962,-121.782,20150826,14:40:00,2502.5,4,26
aeco,California_Environmental_Data_Exchange_Network,west,38.2996,-121.383,20190319,15:06:00,5862.5,4,1627
aecy,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.659932,-79.24914138,20200924,0:01:00,3.42,1,548
aedy,California_Environmental_Data_Exchange_Network,west,37.6756,-121.264,20161018,19:25:00,2585.039995,4,84
aeea,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,34.73,-77.44,20210720,0:01:00,4.034,1,162
aefb,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.03,-78.68256753,20200601,0:01:00,160.332,3,188
aeib,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.70435191,-79.16663621,20140813,0:01:00,33.112,2,692
aeid,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,39.16522,-96.91105,20160926,0:01:00,389.34,3,0
aejc,US_Army_Corps_of_Engineers,northeast,42.021242,-78.95833,20171004,18:00:00,10.45189394,1,0
aekm,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.65436,-79.01216056,20160824,0:01:00,2.905,1,150
aelv,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.79,-79.03326356,20200610,0:01:00,41.955,2,381
aemv,California_Environmental_Data_Exchange_Network,west,39.3092,-121.595,20141118,21:30:00,6065,4,2716
aepe,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.35,-79.11398911,20191120,0:01:00,460.856,3,1105
aepl,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.6465182,-79.27405606,20180809,0:01:00,20.206,2,767
aeqh,California_Environmental_Data_Exchange_Network,west,37.6756,-121.264,20161114,20:45:00,1864.626663,4,84
aetj,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.91318977,-79.18341968,20140610,0:01:00,4.784,1,965
aeud,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,34.73,-76.73,20190116,0:01:00,0.218,1,167
aeuj,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.00756,-78.97114786,20130812,0:01:00,58.962,2,911
aeus,California_Environmental_Data_Exchange_Network,west,37.9893,-121.463,20200317,18:40:00,1722.4535,4,21
aexi,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.71124511,-79.15383283,20160915,0:01:00,61.359,2,577
aexm,California_Environmental_Data_Exchange_Network,west,34.4395,-119.854,20190522,16:30:00,3635,4,529
aeyg,California_Environmental_Data_Exchange_Network,west,34.9454,-120.417,20160420,15:25:00,455.05,3,1083
aeyz,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.6296711,-79.30534771,20160621,0:01:00,49.377,2,814
aezm,California_Environmental_Data_Exchange_Network,west,35.5621,-119.151,20170201,18:30:00,1234.5,4,537
afas,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.63565941,-79.29422509,20170920,0:01:00,28.446,2,584
afbi,EPA_National_Aquatic_Research_Survey,midwest,38.84259,-85.82827,20170810,0:01:00,3355.27,4,0
afbl,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.67826952,-79.21508142,20180809,0:01:00,1.682,1,564
afcm,Pennsylvania_Department_of_Environmental_Protection,northeast,41.99847,-78.95185,20190819,17:00:00,5688.667,4,0
afef,EPA_Central_Data_Exchange,northeast,42.516667,-79.893333,20180408,0:01:00,1.589790419,1,0
afeh,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.51,-79.04122242,20210802,0:01:00,19.087,1,761
afek,US_Army_Corps_of_Engineers,northeast,41.992305,-78.929219,20190924,20:45:00,8.393428023,1,0
afel,California_Environmental_Data_Exchange_Network,west,37.8189,-121.358,20190716,16:40:00,2836.1765,4,162
affc,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.98,-78.79640887,20181025,0:01:00,29.157,2,761
afgc,California_Environmental_Data_Exchange_Network,west,37.3978,-120.96,20141203,20:20:00,634.7825,3,691
afgk,EPA_Central_Data_Exchange,midwest,47.62155,-89.463167,20160417,0:01:00,0.163905057,1,0
afgy,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.70629478,-79.16302753,20160525,0:01:00,5.228,1,478
afhn,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.67137631,-79.2278848,20150422,0:01:00,0.399,1,594
afhu,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.98,-78.82921903,20201117,0:01:00,250.082,3,912
afhv,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.87017629,-78.83916151,20180221,0:01:00,3.268,1,111
afhy,California_Environmental_Data_Exchange_Network,west,34.9454,-120.417,20190521,23:15:00,4492.5,4,1083
afip,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.68758466,-79.19777956,20210428,0:01:00,0.968,1,672
afiq,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.70038632,-79.17400186,20130730,0:01:00,6.535,1,171
afix,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,38.9695,-94.7582,20211011,0:01:00,200.722,3,0
afjc,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.7228225,-79.13232909,20130516,0:01:00,7.745,1,934
afje,Connecticut_State_Department_of_Public_Health,northeast,41.80086,-73.24929,20200825,15:05:00,6.5286,1,0
afjf,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.055,-78.763,20130114,0:01:00,22.385,2,0
afjv,California_Environmental_Data_Exchange_Network,west,34.446,-119.876,20180925,17:30:00,852.5,3,764
afke,Pennsylvania_Department_of_Environmental_Protection,northeast,41.3326,-75.88683,20210819,15:48:00,234.667,3,0
aflh,EPA_Central_Data_Exchange,northeast,43.596667,-78.801667,20140425,0:01:00,0.216766288,1,0
afnd,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.976,-78.74893355,20150922,0:01:00,3.227,1,1308
afos,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.8639339,-78.78920057,20150324,0:01:00,1.598,1,1799
afpq,California_Environmental_Data_Exchange_Network,west,36.7254,-121.73,20190118,20:18:00,5065,4,1123
afpw,California_Environmental_Data_Exchange_Network,west,36.6291,-121.688,20180425,17:46:00,4142.5,4,100
afsc,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.01,-78.96294531,20180822,0:01:00,3.646,1,1392
afsi,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.86256741,-78.77826385,20140623,0:01:00,47.842,2,1515
afuh,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,39.20984,-96.96101,20130903,0:01:00,18.837,1,9
afum,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.70565603,-79.16421395,20160810,0:01:00,1.815,1,627
afvi,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.66216763,-79.24498893,20190904,0:01:00,4.383,1,141
afvu,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.055,-78.763,20140422,0:01:00,4.35,1,0
afwi,California_Environmental_Data_Exchange_Network,west,38.2104,-121.262,20170228,15:20:00,4265.78,4,725
afyc,California_Environmental_Data_Exchange_Network,west,38.1688,-121.47,20210811,18:25:00,4335,4,0
afzm,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.69559568,-79.18289996,20151207,0:01:00,4.212,1,355
agbg,California_Environmental_Data_Exchange_Network,west,36.9425,-121.445,20210928,15:30:00,3032.5,4,338
agbl,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.17,-79.05555825,20200623,0:01:00,32.082,2,542
agca,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.31,-79.11537326,20200601,0:01:00,20.949,2,407
agcl,Pennsylvania_Department_of_Environmental_Protection,northeast,40.48477,-78.27506,20211108,15:35:00,64.667,2,0
agcm,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.02,-76.31,20170719,0:01:00,533.858,3,0
agdh,California_Environmental_Data_Exchange_Network,west,37.6667,-120.898,20181107,16:50:00,6037.316,4,786
agdv,California_Environmental_Data_Exchange_Network,west,35.1117,-118.615,20150915,16:00:00,2182,4,46
agem,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.63911932,-79.28779868,20141125,0:01:00,73.126,2,541
aggt,EPA_Central_Data_Exchange,northeast,42.416667,-79.8,20160812,0:01:00,15.79007713,1,0
aggu,EPA_Central_Data_Exchange,northeast,43.516667,-79.08,20160408,0:01:00,0.108307139,1,0
aggy,Indiana_State_Department_of_Health,midwest,41.33056393,-85.38360833,20210817,19:00:00,121.344,3,0
aghh,EPA_Central_Data_Exchange,midwest,41.95,-82.686667,20160404,0:01:00,8.292752191,1,0
aghm,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.6677301,-79.23465724,20160920,0:01:00,5.474,1,250
agim,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.742,-79.20355319,20150520,0:01:00,0.264,1,390
agis,EPA_National_Aquatic_Research_Survey,midwest,47.47517,-88.00176,20170718,0:01:00,198.319,3,0
agix,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.68225,-79.07802,20141008,0:01:00,487.965,3,0
agjr,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.6992685,-79.17607808,20140414,0:01:00,9.604,1,286
agku,EPA_Central_Data_Exchange,midwest,47.370167,-90.851833,20160418,0:01:00,0.560454116,1,0
aglm,California_Environmental_Data_Exchange_Network,west,38.785,-121.653,20140819,19:25:00,5935,4,66
agmv,New_Mexico_Environment_Department,west,36.1856,-104.8038,20160503,0:01:00,3.315384043,1,0
agpk,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.72295557,-79.13208192,20180827,0:01:00,0.484,1,920
agqj,EPA_Central_Data_Exchange,midwest,42.733333,-87.416667,20190403,0:01:00,0.636345159,1,0
agqw,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.045,-79.09164499,20130627,0:01:00,6.406,1,538
