data_provider,region,lat,lon,severity,year,month,day,season,hour,minute,second,am,bacteria_counts,log_density,log_distance_to_water_m
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.72292896,-79.13213135,2,2018,8,27,summer,0,1,0,1,20K - <100K,10.730881494783121,6.833031732786201
California_Environmental_Data_Exchange_Network,west,34.446,-119.876,4,2020,3,18,spring,19,50,0,0,1M - <10M,14.95254195653633,6.638567789166521
California_Environmental_Data_Exchange_Network,west,37.2486,-120.851,4,2019,1,17,winter,20,15,0,0,1M - <10M,15.679590688771956,6.1903154058531475
Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,39.12106,-95.41118,2,2018,8,27,summer,0,1,0,1,20K - <100K,11.127851046509798,0.0
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.68223511,-79.20771577,2,2016,6,21,summer,0,1,0,1,20K - <100K,10.053458079112422,7.197435354096591
California_Environmental_Data_Exchange_Network,west,37.6003,-121.224,4,2015,1,13,winter,16,0,0,0,1M - <10M,15.172633541783885,7.174724309836376
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.71542362,-79.14607171,1,2016,6,8,summer,0,1,0,1,<20K,6.364750756851911,6.115892125483034
California_Environmental_Data_Exchange_Network,west,37.4583,-120.967,3,2016,3,8,spring,17,50,0,0,100K - <1M,12.391497714776758,6.78105762593618
California_Environmental_Data_Exchange_Network,west,38.0505,-121.418,3,2013,1,15,winter,16,20,0,0,100K - <1M,13.564569202940028,2.9444389791664403
California_Environmental_Data_Exchange_Network,west,36.9818,-120.221,4,2021,7,14,summer,18,0,0,0,1M - <10M,14.997090810031914,8.205764725234456
EPA_National_Aquatic_Research_Survey,west,35.7589,-105.1445,2,2017,6,19,summer,0,1,0,1,20K - <100K,11.333691137775132,0.0
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.48,-76.82,1,2020,2,26,winter,0,1,0,1,<20K,8.310660905907225,0.0
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.976,-78.75614185,1,2016,4,13,spring,0,1,0,1,<20K,9.17926241640532,6.716594773520978
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.8881581,-78.98307882,1,2019,7,2,summer,0,1,0,1,<20K,9.18296917518005,5.0106352940962555
California_Environmental_Data_Exchange_Network,west,39.7533,-121.971,4,2019,5,22,spring,20,7,0,0,1M - <10M,15.600161487955035,7.057036981697891
California_Environmental_Data_Exchange_Network,west,34.6721,-120.492,4,2014,2,28,winter,20,50,0,0,1M - <10M,15.55202155296185,6.8690144506657065
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.85803313,-78.74197382,1,2014,7,15,summer,0,1,0,1,<20K,7.686162303492906,7.095064377287131
EPA_National_Aquatic_Research_Survey,midwest,48.97325,-100.3713,3,2017,8,1,summer,0,1,0,1,100K - <1M,12.647834323854948,0.0
US_Army_Corps_of_Engineers,northeast,42.056766,-78.879216,2,2019,9,24,fall,16,45,0,0,20K - <100K,10.915978976681567,0.0
California_Environmental_Data_Exchange_Network,west,34.9454,-120.417,4,2017,9,26,fall,22,15,0,0,1M - <10M,15.115702220030753,6.9874902470009905
California_Environmental_Data_Exchange_Network,west,36.7962,-121.782,4,2016,1,19,winter,16,27,0,0,1M - <10M,14.924073177485552,3.258096538021482
California_Environmental_Data_Exchange_Network,west,38.1156,-121.494,4,2013,8,20,summer,17,0,0,0,1M - <10M,15.495075098939838,5.176149732573829
EPA_National_Aquatic_Research_Survey,midwest,41.72506,-85.01198,2,2017,8,2,summer,0,1,0,1,20K - <100K,10.889975763399534,0.0
California_Environmental_Data_Exchange_Network,west,36.3708,-119.429,4,2016,6,22,summer,16,0,0,0,1M - <10M,13.878720071362158,5.3981627015177525
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.89527007,-79.03999949,2,2015,6,10,summer,0,1,0,1,20K - <100K,11.200882391605512,7.6128310304073565
EPA_Central_Data_Exchange,midwest,44.761667,-82.783333,1,2018,4,3,spring,0,1,0,1,<20K,5.8805329864007,0.0
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.69543599,-79.18319656,1,2016,4,6,spring,0,1,0,1,<20K,7.873978379604501,5.817111159963204
California_Environmental_Data_Exchange_Network,west,37.8717,-121.526,4,2016,5,17,spring,18,40,0,0,1M - <10M,14.330491137932356,4.31748811353631
US_Army_Corps_of_Engineers,northeast,41.890646,-78.925275,1,2017,10,5,fall,14,0,0,0,<20K,8.939318740417509,0.0
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.433,-80.1,3,2016,6,21,summer,0,1,0,1,100K - <1M,12.542162666259054,0.0
US_Army_Corps_of_Engineers,northeast,42.086392,-78.874325,3,2013,7,16,summer,14,30,0,0,100K - <1M,12.84567663415915,0.0
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.65003134,-79.26753078,2,2016,7,19,summer,0,1,0,1,20K - <100K,10.787441025831312,6.152732694704104
California_Environmental_Data_Exchange_Network,west,36.9128,-121.744,4,2014,12,3,winter,18,15,0,0,1M - <10M,15.379427955096565,7.664815785285735
EPA_Central_Data_Exchange,midwest,44.736667,-86.721667,1,2016,8,5,summer,0,1,0,1,<20K,8.709795057617749,0.0
California_Environmental_Data_Exchange_Network,west,37.1366,-120.762,4,2020,5,12,spring,19,30,0,0,1M - <10M,15.475641584713893,6.395261598115449
US_Army_Corps_of_Engineers,northeast,41.693325,-80.07708,2,2015,9,25,fall,17,20,0,0,20K - <100K,10.946816139580935,3.912023005428146
EPA_National_Aquatic_Research_Survey,midwest,44.87109,-103.0033,4,2017,6,12,summer,0,1,0,1,1M - <10M,14.30345847120834,0.0
EPA_Central_Data_Exchange,midwest,44.0,-82.35,1,2017,3,31,spring,0,1,0,1,<20K,5.043425116919247,0.0
California_Environmental_Data_Exchange_Network,west,38.1602,-121.206,4,2019,3,19,spring,18,20,0,0,1M - <10M,14.721631754961814,4.2626798770413155
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.313,-79.11482949,3,2020,2,26,winter,0,1,0,1,100K - <1M,13.107544112505979,5.5134287461649825
Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,39.21155,-97.00559,2,2017,8,28,summer,0,1,0,1,20K - <100K,11.442932093149693,3.258096538021482
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.86405812,-78.79019482,1,2015,4,22,spring,0,1,0,1,<20K,5.7899601708972535,7.480428306074208
California_Environmental_Data_Exchange_Network,west,39.3092,-121.595,4,2019,8,22,summer,17,41,0,0,1M - <10M,15.581097152888306,7.906915488678587
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.86688428,-78.81281395,1,2016,5,24,spring,0,1,0,1,<20K,8.17695386822578,5.564520407322694
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.69378588,-79.18626146,1,2016,12,13,winter,0,1,0,1,<20K,9.536978699538377,5.945420608606575
California_Environmental_Data_Exchange_Network,west,37.3906,-120.958,4,2015,4,14,spring,19,30,0,0,1M - <10M,14.268275195988933,6.1463292576688975
California_Environmental_Data_Exchange_Network,west,37.0062,-120.6,4,2021,7,14,summer,18,15,0,0,1M - <10M,15.88427025129725,7.078341579557671
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.13,-79.06766955,1,2020,6,24,summer,0,1,0,1,<20K,9.641733102094262,6.008813185442595
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.6983636,-79.17775883,1,2014,7,22,summer,0,1,0,1,<20K,7.637716432664798,4.948759890378168
California_Environmental_Data_Exchange_Network,west,37.3978,-120.96,4,2020,8,11,summer,18,30,0,0,1M - <10M,15.749430684551918,6.53813982376767
California_Environmental_Data_Exchange_Network,west,39.6242,-122.197,4,2018,6,20,summer,19,20,0,0,1M - <10M,16.027623747794244,6.9650803456014065
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.976,-78.75042492,1,2015,11,16,fall,0,1,0,1,<20K,9.71697723512072,7.255591274253665
EPA_Central_Data_Exchange,midwest,47.62155,-89.463167,1,2017,8,25,summer,0,1,0,1,<20K,7.931284761525891,0.0
Delaware_National_Resources_and_the_University_of_Delaware's_Citizen_Monitoring_Program,south,38.48312168,-75.12969166,1,2020,11,10,fall,12,50,0,0,<20K,9.210340371976184,0.0
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.642526,-79.28147114,2,2020,7,15,summer,0,1,0,1,20K - <100K,10.795424114541712,6.505784060128229
EPA_Water_Quality_Data_Portal,midwest,44.868638,-93.524033,1,2013,9,23,fall,14,45,0,0,<20K,8.297294370266917,0.0
California_Environmental_Data_Exchange_Network,west,37.2583,-120.475,3,2013,2,12,winter,20,0,0,0,100K - <1M,12.112470506193867,6.900730664045173
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.68433767,-79.2038105,1,2015,6,22,summer,0,1,0,1,<20K,9.26188863385676,6.844815479208263
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.63158736,-79.30178847,1,2015,5,6,spring,0,1,0,1,<20K,7.469083884921234,7.02197642307216
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.91362456,-79.18689955,1,2014,6,23,summer,0,1,0,1,<20K,9.108971877587894,6.55250788703459
Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,37.82493334,-99.91665915,3,2021,8,16,summer,0,1,0,1,100K - <1M,12.214244167517736,0.0
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.794,-79.01991641,3,2016,9,20,fall,0,1,0,1,100K - <1M,13.538556071980016,0.0
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.8594928,-78.75365623,1,2013,4,23,spring,0,1,0,1,<20K,6.447305862541213,6.0014148779611505
California_Environmental_Data_Exchange_Network,west,35.4265,-118.832,4,2020,7,21,summer,20,0,0,0,1M - <10M,15.410342318009013,4.189654742026425
US_Army_Corps_of_Engineers,midwest,41.005131,-81.021802,1,2016,8,2,summer,17,45,0,0,<20K,7.149916836132109,0.0
Pennsylvania_Department_of_Environmental_Protection,northeast,41.89424,-78.93875,1,2019,4,16,spring,16,45,0,0,<20K,7.144407180321139,0.0
Delaware_National_Resources_and_the_University_of_Delaware's_Citizen_Monitoring_Program,south,38.72020003,-75.08008333,2,2017,8,21,summer,11,2,0,1,20K - <100K,10.895330926810955,0.0
California_Environmental_Data_Exchange_Network,west,36.8739,-121.745,4,2020,4,29,spring,22,10,0,0,1M - <10M,15.523435417113028,7.674152921281675
Wyoming_Department_of_Environmental_Quality,west,41.964856,-110.654119,5,2018,8,22,summer,16,0,0,0,≥10M,16.960887775747373,0.0
Indiana_State_Department_of_Health,midwest,39.61525,-84.96614444,4,2020,8,25,summer,14,0,0,0,1M - <10M,15.043671359778916,0.0
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.90862444,-79.14688109,3,2021,4,28,spring,0,1,0,1,100K - <1M,11.701237377038966,5.598421958998375
California_Environmental_Data_Exchange_Network,west,34.942,-120.557,4,2013,5,28,spring,18,20,0,0,1M - <10M,15.747031969567487,7.820439515262181
California_Environmental_Data_Exchange_Network,west,37.1366,-120.762,4,2015,1,13,winter,22,15,0,0,1M - <10M,15.70144319720958,6.395261598115449
EPA_Central_Data_Exchange,midwest,47.62155,-89.463167,1,2018,5,13,spring,0,1,0,1,<20K,5.5134287461649825,0.0
California_Environmental_Data_Exchange_Network,west,37.2343,-121.87,4,2015,2,6,winter,2,40,0,1,1M - <10M,15.602676158182101,6.226536669287466
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.79,-79.03232432,1,2020,3,11,spring,0,1,0,1,<20K,6.74993119378857,5.717027701406222
EPA_Water_Quality_Data_Portal,midwest,44.878889,-93.490833,1,2013,6,18,summer,14,15,0,0,<20K,5.541263545158426,0.0
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.61,-78.99699829,2,2021,5,18,spring,0,1,0,1,20K - <100K,10.782429418257793,7.459338895220296
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.72484521,-79.12857211,1,2018,8,6,summer,0,1,0,1,<20K,8.978660489639687,6.672032945461067
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.64486809,-79.27712096,2,2019,7,2,summer,0,1,0,1,20K - <100K,10.45056795696129,6.4425401664681985
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.62476,-78.71115215,3,2016,6,22,summer,0,1,0,1,100K - <1M,11.859029735683244,6.761572768804055
EPA_Central_Data_Exchange,midwest,44.14,-87.233333,1,2016,8,5,summer,0,1,0,1,<20K,9.516647908551128,0.0
EPA_Central_Data_Exchange,midwest,41.726667,-83.15,1,2018,4,7,spring,0,1,0,1,<20K,9.817820725779036,0.0
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.742,-79.2289065,1,2016,5,24,spring,0,1,0,1,<20K,9.514510761932765,7.116394144093465
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.86219473,-78.77528111,1,2014,5,19,spring,0,1,0,1,<20K,6.483107351457199,7.1929342212158
California_Environmental_Data_Exchange_Network,west,35.3207,-120.806,4,2014,2,27,winter,16,20,0,0,1M - <10M,15.782972503906402,6.7464121285733745
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.69077842,-79.19184749,1,2019,2,19,winter,0,1,0,1,<20K,7.191429330036379,6.879355804460439
California_Environmental_Data_Exchange_Network,west,41.0491,-121.762,4,2021,8,23,summer,16,45,0,0,1M - <10M,14.8096878284955,8.617400451833262
EPA_Central_Data_Exchange,midwest,46.993333,-85.1645,1,2016,8,22,summer,0,1,0,1,<20K,9.201400530406708,0.0
EPA_National_Aquatic_Research_Survey,midwest,45.48802,-96.44255,3,2017,8,21,summer,0,1,0,1,100K - <1M,12.622807345896568,0.0
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.69149702,-79.19051278,1,2018,8,9,summer,0,1,0,1,<20K,7.3395376954076745,6.70808408385307
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.66727765,-79.23549762,1,2016,12,13,winter,0,1,0,1,<20K,6.182084906716632,5.087596335232384
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.67007219,-79.23030706,1,2015,8,6,summer,0,1,0,1,<20K,7.4205789054108005,6.648984550024776
US_Army_Corps_of_Engineers,midwest,41.299298,-80.758329,1,2018,7,5,summer,14,10,0,0,<20K,5.030437921392435,3.6375861597263857
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.88523877,-78.95971401,1,2018,2,21,winter,0,1,0,1,<20K,9.876167741881165,3.4965075614664802
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.79,-79.02184434,3,2017,3,21,spring,0,1,0,1,100K - <1M,12.429544143064144,0.0
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.89309611,-79.02260016,2,2021,10,12,fall,0,1,0,1,20K - <100K,10.56429231017482,5.662960480135946
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.8674433,-78.81728806,2,2016,7,19,summer,0,1,0,1,20K - <100K,11.40802040113403,5.991464547107982
EPA_Central_Data_Exchange,midwest,47.85615,-88.041917,1,2013,4,15,spring,0,1,0,1,<20K,6.073044534100405,0.0
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.70610848,-79.16337357,1,2016,6,8,summer,0,1,0,1,<20K,7.532088143541722,6.251903883165888
Indiana_State_Department_of_Health,midwest,40.72010333,-85.1058325,1,2021,5,24,spring,23,0,0,0,<20K,8.112227958349724,0.0
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.72521782,-79.12788004,1,2013,8,26,summer,0,1,0,1,<20K,6.710523109452428,6.62273632394984
Indiana_State_Department_of_Health,midwest,41.33056393,-85.38360833,2,2020,6,8,summer,20,0,0,0,20K - <100K,10.506600610392093,0.0
California_Environmental_Data_Exchange_Network,west,37.3169,-120.742,4,2017,4,11,spring,19,40,0,0,1M - <10M,15.13673185510402,8.182838710766026
US_Army_Corps_of_Engineers,northeast,41.841242,-78.994719,1,2020,9,2,fall,21,30,0,0,<20K,8.575462099540212,0.0
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.69841683,-79.17765997,1,2014,7,22,summer,0,1,0,1,<20K,9.493863809279105,5.049856007249537
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.65,-78.68778733,2,2021,8,11,summer,0,1,0,1,20K - <100K,10.879725029461348,6.267200548541362
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.794,-79.01032624,1,2014,8,5,summer,0,1,0,1,<20K,8.890272839380247,0.0
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.63754905,-79.29071528,2,2015,7,23,summer,0,1,0,1,20K - <100K,11.207242341408895,5.988961416889864
California_Environmental_Data_Exchange_Network,west,36.7962,-121.782,4,2015,8,26,summer,14,40,0,0,1M - <10M,14.732800790171513,3.258096538021482
California_Environmental_Data_Exchange_Network,west,38.2996,-121.383,4,2019,3,19,spring,15,6,0,0,1M - <10M,15.584086691736672,7.394493107219038
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.659932,-79.24914138,1,2020,9,24,fall,0,1,0,1,<20K,8.13739583005665,6.306275286948016
California_Environmental_Data_Exchange_Network,west,37.6756,-121.264,4,2016,10,18,fall,19,25,0,0,1M - <10M,14.765251152851476,4.430816798843313
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,34.73,-77.44,1,2021,7,20,summer,0,1,0,1,<20K,8.302513718514158,5.087596335232384
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.03,-78.68256753,3,2020,6,1,summer,0,1,0,1,100K - <1M,11.985001944376894,5.236441962829949
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.70435191,-79.16663621,2,2014,8,13,summer,0,1,0,1,20K - <100K,10.407651033428568,6.539585955617669
Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,39.16522,-96.91105,3,2016,9,26,fall,0,1,0,1,100K - <1M,12.872208276843269,0.0
US_Army_Corps_of_Engineers,northeast,42.021242,-78.95833,1,2017,10,4,fall,18,0,0,0,<20K,9.254452946594503,0.0
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.65436,-79.01216056,1,2016,8,24,summer,0,1,0,1,<20K,7.974188669286011,5.0106352940962555
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.79,-79.03326356,2,2020,6,10,summer,0,1,0,1,20K - <100K,10.64435289430417,5.942799375126701
California_Environmental_Data_Exchange_Network,west,39.3092,-121.595,4,2014,11,18,fall,21,30,0,0,1M - <10M,15.618045100360288,7.906915488678587
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.35,-79.11398911,3,2019,11,20,fall,0,1,0,1,100K - <1M,13.040840908757694,7.007600613951853
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.6465182,-79.27405606,2,2018,8,9,summer,0,1,0,1,20K - <100K,9.913734868987678,6.642486801367256
California_Environmental_Data_Exchange_Network,west,37.6756,-121.264,4,2016,11,14,fall,20,45,0,0,1M - <10M,14.438571054756952,4.430816798843313
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.91318977,-79.18341968,1,2014,6,10,summer,0,1,0,1,<20K,8.473032295630468,6.872128101338986
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,34.73,-76.73,1,2019,1,16,winter,0,1,0,1,<20K,5.384495062789089,5.117993812416755
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.00756,-78.97114786,2,2013,8,12,summer,0,1,0,1,20K - <100K,10.984648447590482,6.814542897259958
California_Environmental_Data_Exchange_Network,west,37.9893,-121.463,4,2020,3,17,spring,18,40,0,0,1M - <10M,14.359259995576057,3.044522437723423
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.71124511,-79.15383283,2,2016,9,15,fall,0,1,0,1,20K - <100K,11.024497138646277,6.3578422665081
California_Environmental_Data_Exchange_Network,west,34.4395,-119.854,4,2019,5,22,spring,16,30,0,0,1M - <10M,15.106119668949757,6.270988431858299
California_Environmental_Data_Exchange_Network,west,34.9454,-120.417,3,2016,4,20,spring,15,25,0,0,100K - <1M,13.028162582005502,6.9874902470009905
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.6296711,-79.30534771,2,2016,6,21,summer,0,1,0,1,20K - <100K,10.807240007712178,6.70196036600254
California_Environmental_Data_Exchange_Network,west,35.5621,-119.151,4,2017,2,1,winter,18,30,0,0,1M - <10M,14.026176587767372,6.285998094508865
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.63565941,-79.29422509,2,2017,9,20,fall,0,1,0,1,20K - <100K,10.255762832130173,6.369900982828227
EPA_National_Aquatic_Research_Survey,midwest,38.84259,-85.82827,4,2017,8,10,summer,0,1,0,1,1M - <10M,15.026042802049977,0.0
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.67826952,-79.21508142,1,2018,8,9,summer,0,1,0,1,<20K,7.427738840532894,6.335054251498059
Pennsylvania_Department_of_Environmental_Protection,northeast,41.99847,-78.95185,4,2019,8,19,summer,17,0,0,0,1M - <10M,15.553986508006595,0.0
EPA_Central_Data_Exchange,northeast,42.516667,-79.893333,1,2018,4,8,spring,0,1,0,1,<20K,7.370860166536716,0.0
NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.51,-79.04122242,1,2021,8,2,summer,0,1,0,1,<20K,9.856762754029893,6.634633357861686
US_Army_Corps_of_Engineers,northeast,41.992305,-78.929219,1,2019,9,24,fall,20,45,0,0,<20K,9.035153304082828,0.0
California_Environmental_Data_Exchange_Network,west,37.8189,-121.358,4,2019,7,16,summer,16,40,0,0,1M - <10M,14.857967223946924,5.087596335232384
