uid,data_provider,region,lat,lon,date,time,abun,severity,distance_to_water_m,month,season,is_near_water,abundance_class
abcx,California_Environmental_Data_Exchange_Network,west,38.0505,-121.418,2013-01-15,16:20:00,778.0685,3,19.0,1,Winter,True,Moderate
abdc,California_Environmental_Data_Exchange_Network,west,36.9818,-120.221,2021-07-14,18:00:00,3259.5215,4,3662.0,7,Summer,False,High
abdk,EPA_National_Aquatic_Research_Survey,west,35.7589,-105.1445,2017-06-19,0:01:00,83.591,2,0.0,6,Summer,True,Moderate
abdw,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.48,-76.82,2020-02-26,0:01:00,4.067,1,0.0,2,Winter,True,Low
abei,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.976,-78.75614185,2016-04-13,0:01:00,9.694,1,826.0,4,Spring,False,Low
aben,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.8881581,-78.98307882,2019-07-02,0:01:00,9.73,1,150.0,7,Summer,False,Low
abeu,California_Environmental_Data_Exchange_Network,west,39.7533,-121.971,2019-05-22,20:07:00,5957.5,4,1161.0,5,Spring,False,High
abhd,California_Environmental_Data_Exchange_Network,west,34.6721,-120.492,2014-02-28,20:50:00,5677.5,4,962.0,2,Winter,False,High
abin,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.85803313,-78.74197382,2014-07-15,0:01:00,2.178,1,1206.0,7,Summer,False,Low
abit,EPA_National_Aquatic_Research_Survey,midwest,48.97325,-100.3713,2017-08-01,0:01:00,311.089,3,0.0,8,Summer,True,Moderate
abjj,US_Army_Corps_of_Engineers,northeast,42.056766,-78.879216,2019-09-24,16:45:00,55.04933333,2,0.0,9,Autumn,True,Moderate
abjq,California_Environmental_Data_Exchange_Network,west,34.9454,-120.417,2017-09-26,22:15:00,3670.0,4,1083.0,9,Autumn,False,High
abjr,California_Environmental_Data_Exchange_Network,west,36.7962,-121.782,2016-01-19,16:27:00,3030.0,4,26.0,1,Winter,True,High
abjx,California_Environmental_Data_Exchange_Network,west,38.1156,-121.494,2013-08-20,17:00:00,5363.2205,4,177.0,8,Summer,False,High
abka,EPA_National_Aquatic_Research_Survey,midwest,41.72506,-85.01198,2017-08-02,0:01:00,53.636,2,0.0,8,Summer,True,Moderate
abkx,California_Environmental_Data_Exchange_Network,west,36.3708,-119.429,2016-06-22,16:00:00,1065.25,4,221.0,6,Summer,False,Moderate
abmo,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.89527007,-79.03999949,2015-06-10,0:01:00,73.195,2,2024.0,6,Summer,False,Moderate
aboc,EPA_Central_Data_Exchange,midwest,44.761667,-82.783333,2018-04-03,0:01:00,0.358241253,1,0.0,4,Spring,True,Low
abqi,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.69543599,-79.18319656,2016-04-06,0:01:00,2.628,1,336.0,4,Spring,False,Low
abqw,California_Environmental_Data_Exchange_Network,west,37.8717,-121.526,2016-05-17,18:40:00,1673.606,4,75.0,5,Spring,True,Moderate
abrn,US_Army_Corps_of_Engineers,northeast,41.890646,-78.925275,2017-10-05,14:00:00,7.626284722,1,0.0,10,Autumn,True,Low
absk,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.433,-80.1,2016-06-21,0:01:00,279.893,3,0.0,6,Summer,True,Moderate
absl,US_Army_Corps_of_Engineers,northeast,42.086392,-78.874325,2013-07-16,14:30:00,379.1468027,3,0.0,7,Summer,True,Moderate
abso,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.65003134,-79.26753078,2016-07-19,0:01:00,48.409,2,470.0,7,Summer,False,Low
absx,California_Environmental_Data_Exchange_Network,west,36.9128,-121.744,2014-12-03,18:15:00,4777.5,4,2132.0,12,Winter,False,High
abua,EPA_Central_Data_Exchange,midwest,44.736667,-86.721667,2016-08-05,0:01:00,6.062838201,1,0.0,8,Summer,True,Low
abui,California_Environmental_Data_Exchange_Network,west,37.1366,-120.762,2020-05-12,19:30:00,5260.0,4,599.0,5,Spring,False,High
abvn,US_Army_Corps_of_Engineers,northeast,41.693325,-80.07708,2015-09-25,17:20:00,56.77361111,2,50.0,9,Autumn,True,Moderate
abvy,EPA_National_Aquatic_Research_Survey,midwest,44.87109,-103.0033,2017-06-12,0:01:00,1628.97,4,0.0,6,Summer,True,Moderate
abwl,EPA_Central_Data_Exchange,midwest,44.0,-82.35,2017-03-31,0:01:00,0.155190677,1,0.0,3,Spring,True,Low
abxl,California_Environmental_Data_Exchange_Network,west,38.1602,-121.206,2019-03-19,18:20:00,2474.705,4,71.0,3,Spring,True,High
abzb,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.313,-79.11482949,2020-02-26,0:01:00,492.645,3,248.0,2,Winter,False,Moderate
abzk,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,39.21155,-97.00559,2017-08-28,0:01:00,93.24,2,26.0,8,Summer,True,Moderate
abzw,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.86405812,-78.79019482,2015-04-22,0:01:00,0.327,1,1773.0,4,Spring,False,Low
acbt,California_Environmental_Data_Exchange_Network,west,39.3092,-121.595,2019-08-22,17:41:00,5845.0,4,2716.0,8,Summer,False,High
accd,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.86688428,-78.81281395,2016-05-24,0:01:00,3.558,1,261.0,5,Spring,False,Low
acck,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.69378588,-79.18626146,2016-12-13,0:01:00,13.863,1,382.0,12,Winter,False,Low
acdj,California_Environmental_Data_Exchange_Network,west,37.3906,-120.958,2015-04-14,19:30:00,1572.6545,4,467.0,4,Spring,False,Moderate
acex,California_Environmental_Data_Exchange_Network,west,37.0062,-120.6,2021-07-14,18:15:00,7915.0,4,1186.0,7,Summer,False,High
acgm,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.13,-79.06766955,2020-06-24,0:01:00,15.394,1,407.0,6,Summer,False,Low
acgx,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.6983636,-79.17775883,2014-07-22,0:01:00,2.075,1,141.0,7,Summer,False,Low
acix,California_Environmental_Data_Exchange_Network,west,37.3978,-120.96,2020-08-11,18:30:00,6916.571,4,691.0,8,Summer,False,High
acje,California_Environmental_Data_Exchange_Network,west,39.6242,-122.197,2018-06-20,19:20:00,9135.0,4,1059.0,6,Summer,False,High
ackq,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.976,-78.75042492,2015-11-16,0:01:00,16.597,1,1416.0,11,Autumn,False,Low
ackx,EPA_Central_Data_Exchange,midwest,47.62155,-89.463167,2017-08-25,0:01:00,2.783814767,1,0.0,8,Summer,True,Low
aclb,Delaware_National_Resources_and_the_University_of_Delaware's_Citizen_Monitoring_Program,south,38.48312168,-75.12969166,2020-11-10,12:50:00,10.0,1,0.0,11,Autumn,True,Low
acld,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.642526,-79.28147114,2020-07-15,0:01:00,48.797,2,669.0,7,Summer,False,Low
aclj,EPA_Water_Quality_Data_Portal,midwest,44.868638,-93.524033,2013-09-23,14:45:00,4.013,1,0.0,9,Autumn,True,Low
acmt,California_Environmental_Data_Exchange_Network,west,37.2583,-120.475,2013-02-12,20:00:00,182.129,3,993.0,2,Winter,False,Moderate
acoa,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.68433767,-79.2038105,2015-06-22,0:01:00,10.529,1,939.0,6,Summer,False,Low
acoz,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.63158736,-79.30178847,2015-05-06,0:01:00,1.753,1,1121.0,5,Spring,False,Low
acpf,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.91362456,-79.18689955,2014-06-23,0:01:00,9.036,1,701.0,6,Summer,False,Low
acpk,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,37.82493334,-99.91665915,2021-08-16,0:01:00,201.641,3,0.0,8,Summer,True,Moderate
acqg,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.794,-79.01991641,2016-09-20,0:01:00,758.089,3,0.0,9,Autumn,True,Moderate
acqj,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.8594928,-78.75365623,2013-04-23,0:01:00,0.631,1,404.0,4,Spring,False,Low
acqu,California_Environmental_Data_Exchange_Network,west,35.4265,-118.832,2020-07-21,20:00:00,4927.5,4,66.0,7,Summer,True,High
acta,US_Army_Corps_of_Engineers,midwest,41.005131,-81.021802,2016-08-02,17:45:00,1.274865923,1,0.0,8,Summer,True,Low
actk,Pennsylvania_Department_of_Environmental_Protection,northeast,41.89424,-78.93875,2019-04-16,16:45:00,1.267,1,0.0,4,Spring,True,Low
actm,Delaware_National_Resources_and_the_University_of_Delaware's_Citizen_Monitoring_Program,south,38.72020003,-75.08008333,2017-08-21,11:02:00,53.92499924,2,0.0,8,Summer,True,Moderate
actx,California_Environmental_Data_Exchange_Network,west,36.8739,-121.745,2020-04-29,22:10:00,5517.5,4,2152.0,4,Spring,False,High
acuf,Wyoming_Department_of_Environmental_Quality,west,41.964856,-110.654119,2018-08-22,16:00:00,23228.43677,5,0.0,8,Summer,True,High
acwc,Indiana_State_Department_of_Health,midwest,39.61525,-84.96614444,2020-08-25,14:00:00,3414.943,4,0.0,8,Summer,True,High
acwk,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.90862444,-79.14688109,2021-04-28,0:01:00,120.721,3,270.0,4,Spring,False,Moderate
acwm,California_Environmental_Data_Exchange_Network,west,34.942,-120.557,2013-05-28,18:20:00,6900.0,4,2491.0,5,Spring,False,High
acwx,California_Environmental_Data_Exchange_Network,west,37.1366,-120.762,2015-01-13,22:15:00,6592.5,4,599.0,1,Winter,False,High
acwy,EPA_Central_Data_Exchange,midwest,47.62155,-89.463167,2018-05-13,0:01:00,0.248172423,1,0.0,5,Spring,True,Low
acxn,California_Environmental_Data_Exchange_Network,west,37.2343,-121.87,2015-02-06,2:40:00,5972.5,4,506.0,2,Winter,False,High
acyg,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.79,-79.03232432,2020-03-11,0:01:00,0.854,1,304.0,3,Spring,False,Low
acyi,EPA_Water_Quality_Data_Portal,midwest,44.878889,-93.490833,2013-06-18,14:15:00,0.255,1,0.0,6,Summer,True,Low
acyk,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.61,-78.99699829,2021-05-18,0:01:00,48.167,2,1736.0,5,Spring,False,Low
acyl,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.72484521,-79.12857211,2018-08-06,0:01:00,7.932,1,790.0,8,Summer,False,Low
aczv,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.64486809,-79.27712096,2019-07-02,0:01:00,34.564,2,628.0,7,Summer,False,Low
aczx,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.62476,-78.71115215,2016-06-22,0:01:00,141.355,3,864.0,6,Summer,False,Moderate
adau,EPA_Central_Data_Exchange,midwest,44.14,-87.233333,2016-08-05,0:01:00,13.58431788,1,0.0,8,Summer,True,Low
addj,EPA_Central_Data_Exchange,midwest,41.726667,-83.15,2018-04-07,0:01:00,18.35869681,1,0.0,4,Spring,True,Low
adef,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.742,-79.2289065,2016-05-24,0:01:00,13.555,1,1232.0,5,Spring,False,Low
adfl,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.86219473,-78.77528111,2014-05-19,0:01:00,0.654,1,1330.0,5,Spring,False,Low
adgs,California_Environmental_Data_Exchange_Network,west,35.3207,-120.806,2014-02-27,16:20:00,7152.5,4,851.0,2,Winter,False,High
adhj,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.69077842,-79.19184749,2019-02-19,0:01:00,1.328,1,972.0,2,Winter,False,Low
adjx,California_Environmental_Data_Exchange_Network,west,41.0491,-121.762,2021-08-23,16:45:00,2702.5,4,5527.0,8,Summer,False,High
admd,EPA_Central_Data_Exchange,midwest,46.993333,-85.1645,2016-08-22,0:01:00,9.911813333,1,0.0,8,Summer,True,Low
admk,EPA_National_Aquatic_Research_Survey,midwest,45.48802,-96.44255,2017-08-21,0:01:00,303.4,3,0.0,8,Summer,True,Moderate
admo,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.69149702,-79.19051278,2018-08-09,0:01:00,1.54,1,819.0,8,Summer,False,Low
adow,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.66727765,-79.23549762,2016-12-13,0:01:00,0.484,1,162.0,12,Winter,False,Low
adqc,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.67007219,-79.23030706,2015-08-06,0:01:00,1.67,1,772.0,8,Summer,False,Low
adra,US_Army_Corps_of_Engineers,midwest,41.299298,-80.758329,2018-07-05,14:10:00,0.153401361,1,38.0,7,Summer,True,Low
adsv,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.88523877,-78.95971401,2018-02-21,0:01:00,19.461,1,33.0,2,Winter,True,Low
adtv,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.79,-79.02184434,2017-03-21,0:01:00,250.082,3,0.0,3,Spring,True,Moderate
adtx,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.89309611,-79.02260016,2021-10-12,0:01:00,38.727,2,288.0,10,Autumn,False,Low
aduy,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.8674433,-78.81728806,2016-07-19,0:01:00,90.041,2,400.0,7,Summer,False,Moderate
advr,EPA_Central_Data_Exchange,midwest,47.85615,-88.041917,2013-04-15,0:01:00,0.434866119,1,0.0,4,Spring,True,Low
adwf,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.70610848,-79.16337357,2016-06-08,0:01:00,1.867,1,519.0,6,Summer,False,Low
adwg,Indiana_State_Department_of_Health,midwest,40.72010333,-85.1058325,2021-05-24,23:00:00,3.335,1,0.0,5,Spring,True,Low
adwl,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.72521782,-79.12788004,2013-08-26,0:01:00,0.821,1,752.0,8,Summer,False,Low
adxk,Indiana_State_Department_of_Health,midwest,41.33056393,-85.38360833,2020-06-08,20:00:00,36.556,2,0.0,6,Summer,True,Low
adxl,California_Environmental_Data_Exchange_Network,west,37.3169,-120.742,2017-04-11,19:40:00,3747.9965,4,3579.0,4,Spring,False,High
adxo,US_Army_Corps_of_Engineers,northeast,41.841242,-78.994719,2020-09-02,21:30:00,5.300663072,1,0.0,9,Autumn,True,Low
adzg,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.69841683,-79.17765997,2014-07-22,0:01:00,13.278,1,156.0,7,Summer,False,Low
aeaj,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.65,-78.68778733,2021-08-11,0:01:00,53.089,2,527.0,8,Summer,False,Moderate
aeap,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.794,-79.01032624,2014-08-05,0:01:00,7.261,1,0.0,8,Summer,True,Low
aebg,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.63754905,-79.29071528,2015-07-23,0:01:00,73.662,2,399.0,7,Summer,False,Moderate
aecj,California_Environmental_Data_Exchange_Network,west,36.7962,-121.782,2015-08-26,14:40:00,2502.5,4,26.0,8,Summer,True,High
aeco,California_Environmental_Data_Exchange_Network,west,38.2996,-121.383,2019-03-19,15:06:00,5862.5,4,1627.0,3,Spring,False,High
aecy,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.659932,-79.24914138,2020-09-24,0:01:00,3.42,1,548.0,9,Autumn,False,Low
aedy,California_Environmental_Data_Exchange_Network,west,37.6756,-121.264,2016-10-18,19:25:00,2585.039995,4,84.0,10,Autumn,True,High
aeea,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,34.73,-77.44,2021-07-20,0:01:00,4.034,1,162.0,7,Summer,False,Low
aefb,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.03,-78.68256753,2020-06-01,0:01:00,160.332,3,188.0,6,Summer,False,Moderate
aeib,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.70435191,-79.16663621,2014-08-13,0:01:00,33.112,2,692.0,8,Summer,False,Low
aeid,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,39.16522,-96.91105,2016-09-26,0:01:00,389.34,3,0.0,9,Autumn,True,Moderate
aejc,US_Army_Corps_of_Engineers,northeast,42.021242,-78.95833,2017-10-04,18:00:00,10.45189394,1,0.0,10,Autumn,True,Low
aekm,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.65436,-79.01216056,2016-08-24,0:01:00,2.905,1,150.0,8,Summer,False,Low
aelv,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.79,-79.03326356,2020-06-10,0:01:00,41.955,2,381.0,6,Summer,False,Low
aemv,California_Environmental_Data_Exchange_Network,west,39.3092,-121.595,2014-11-18,21:30:00,6065.0,4,2716.0,11,Autumn,False,High
aepe,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.35,-79.11398911,2019-11-20,0:01:00,460.856,3,1105.0,11,Autumn,False,Moderate
aepl,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.6465182,-79.27405606,2018-08-09,0:01:00,20.206,2,767.0,8,Summer,False,Low
aeqh,California_Environmental_Data_Exchange_Network,west,37.6756,-121.264,2016-11-14,20:45:00,1864.626663,4,84.0,11,Autumn,True,Moderate
aetj,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.91318977,-79.18341968,2014-06-10,0:01:00,4.784,1,965.0,6,Summer,False,Low
aeud,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,34.73,-76.73,2019-01-16,0:01:00,0.218,1,167.0,1,Winter,False,Low
aeuj,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.00756,-78.97114786,2013-08-12,0:01:00,58.962,2,911.0,8,Summer,False,Moderate
aeus,California_Environmental_Data_Exchange_Network,west,37.9893,-121.463,2020-03-17,18:40:00,1722.4535,4,21.0,3,Spring,True,Moderate
aexi,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.71124511,-79.15383283,2016-09-15,0:01:00,61.359,2,577.0,9,Autumn,False,Moderate
aexm,California_Environmental_Data_Exchange_Network,west,34.4395,-119.854,2019-05-22,16:30:00,3635.0,4,529.0,5,Spring,False,High
aeyg,California_Environmental_Data_Exchange_Network,west,34.9454,-120.417,2016-04-20,15:25:00,455.05,3,1083.0,4,Spring,False,Moderate
aeyz,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.6296711,-79.30534771,2016-06-21,0:01:00,49.377,2,814.0,6,Summer,False,Low
aezm,California_Environmental_Data_Exchange_Network,west,35.5621,-119.151,2017-02-01,18:30:00,1234.5,4,537.0,2,Winter,False,Moderate
afas,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.63565941,-79.29422509,2017-09-20,0:01:00,28.446,2,584.0,9,Autumn,False,Low
afbi,EPA_National_Aquatic_Research_Survey,midwest,38.84259,-85.82827,2017-08-10,0:01:00,3355.27,4,0.0,8,Summer,True,High
afbl,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.67826952,-79.21508142,2018-08-09,0:01:00,1.682,1,564.0,8,Summer,False,Low
afcm,Pennsylvania_Department_of_Environmental_Protection,northeast,41.99847,-78.95185,2019-08-19,17:00:00,5688.667,4,0.0,8,Summer,True,High
afef,EPA_Central_Data_Exchange,northeast,42.516667,-79.893333,2018-04-08,0:01:00,1.589790419,1,0.0,4,Spring,True,Low
afeh,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.51,-79.04122242,2021-08-02,0:01:00,19.087,1,761.0,8,Summer,False,Low
afek,US_Army_Corps_of_Engineers,northeast,41.992305,-78.929219,2019-09-24,20:45:00,8.393428023,1,0.0,9,Autumn,True,Low
afel,California_Environmental_Data_Exchange_Network,west,37.8189,-121.358,2019-07-16,16:40:00,2836.1765,4,162.0,7,Summer,False,High
affc,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.98,-78.79640887,2018-10-25,0:01:00,29.157,2,761.0,10,Autumn,False,Low
afgc,California_Environmental_Data_Exchange_Network,west,37.3978,-120.96,2014-12-03,20:20:00,634.7825,3,691.0,12,Winter,False,Moderate
afgk,EPA_Central_Data_Exchange,midwest,47.62155,-89.463167,2016-04-17,0:01:00,0.163905057,1,0.0,4,Spring,True,Low
afgy,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.70629478,-79.16302753,2016-05-25,0:01:00,5.228,1,478.0,5,Spring,False,Low
